author_login,author_name,n_commit,n_repo
sckott,Scott Chamberlain,2017,81
jeroen,Jeroen Ooms,729,77
maelle,Maëlle Salmon,282,32
cboettig,Carl Boettiger,445,11
Bisaloo,Hugo Gruson,74,11
richelbilderbeek,richelbilderbeek,1378,6
mpadge,mpadge,272,6
jsta,jsta,28,6
adamhsparks,Adam H. Sparks,1186,5
katrinleinweber,Katrin Leinweber,7,5
Rekyt,Rekyt,224,4
noamross,Noam Ross,181,4
juyeongkim,J. Kim,137,4
annakrystalli,Anna Krystalli,5,4
Robinlovelace,Robin Lovelace,442,3
marcosci,marcosci,297,3
peterdesmet,Peter Desmet,91,3
maurolepore,mauro,14,3
njahn82,Najko Jahn,14,3
amoeba,Bryce Mecum,8,3
jimhester,Jim Hester,4,3
wlandau,wlandau,2176,2
cpsievert,Carson Sievert,430,2
robitalec,Alec Robitaille,285,2
ThierryO,ThierryO,266,2
timtrice,timtrice,210,2
DomBennett,Dom Bennett,162,2
KevCaz,Kevin Cazelles,126,2
laurajanegraham,laurajanegraham,105,2
mdsumner,Michael Sumner,101,2
hlapp,Hilmar Lapp,99,2
richfitz,Rich FitzJohn,70,2
leonawicz,leonawicz,69,2
rorynolan,Rory Nolan,58,2
fmichonneau,Francois Michonneau,53,2
njtierney,Nicholas Tierney,52,2
boshek,Sam Albers,48,2
raymondben,Ben Raymond,44,2
mem48,Malcolm Morgan,35,2
MahShaaban,MahShaaban,25,2
mahmoudahmed,Mahmoud Ahmed,24,2
AliciaSchep,AliciaSchep,22,2
crew102,Chris Baker,20,2
LDalby,LDalby,19,2
zachary-foster,Zachary Foster,19,2
RLumSK,RLumSK,16,2
ethanwhite,Ethan White,15,2
kbroman,Karl Broman,15,2
evanodell,Evan Odell,12,2
bitbacchus,Sebastian Hanss,10,2
muschellij2,muschellij2,8,2
arendsee,Zebulun Arendsee,7,2
cvitolo,Claudia Vitolo,7,2
dpprdan,Daniel Possenriede,7,2
tim,Tim,7,2
emhart,Edmund Hart,6,2
taddallas,taddallas,5,2
brry,Berry Boessenkool,4,2
rvosa,rvosa,4,2
cderv,Christophe Dervieux,3,2
fozy81,fozy81,3,2
ateucher,ateucher,2,2
billdenney,Bill Denney,2,2
dmi3kno,Dmytro Perepolkin,2,2
edzer,Edzer Pebesma,2,2
martinjhnhadley,Martin John Hadley,2,2
JingningShi,Jingning Shi,392,1
eebrown,eebrown,255,1
SteveViss,Steve Vissault,229,1
robbriers,Rob Briers,222,1
sebastiz,sebastiz,219,1
HajkD,HajkD,187,1
kshtzgupta1,Kshitiz Gupta,181,1
OJWatson,OJWatson,167,1
hettling,hettling,145,1
nldoc,nldoc,139,1
bpbond,Ben Bond-Lamberty,132,1
layik,Layik Hama,129,1
stijnvanhoey,stijnvanhoey,125,1
kenarab,alejandro baranek,123,1
compagnoni,Compagnoni,122,1
stewid,Stefan Widgren,118,1
tklebel,Thomas Klebel,116,1
ShixiangWang,ShixiangWang,111,1
damianooldoni,damianooldoni,103,1
cimentadaj,cimentadaj,102,1
PMassicotte,Philippe Massicotte,95,1
khufkens,Koen Hufkens,92,1
azizka,azizka,80,1
elinw,Elin Waring,76,1
lbusett,lbusett,73,1
pachamaltese,pachamaltese,67,1
potterzot,Nicholas Potter,67,1
gfinak,gfinak,62,1
leobelen,Leonardo Javier Belen,59,1
juliasilge,Julia Silge,58,1
cstubben,Chris Stubben,57,1
sebpardo,Sebastian Pardo,56,1
sebastian-fox,Sebastian Fox,53,1
zizka,Zizka,53,1
erzk,Eryk,44,1
rfhb,Ralf Herold,38,1
henrykironde,henrykironde,36,1
SimonGoring,Simon,35,1
eveskew,Evan Eskew,34,1
mwmclean,Mathew W. McLean,33,1
steffilazerte,Stefanie LaZerte,32,1
FilipeamTeixeira,FilipeamTeixeira,31,1
petermeissner,petermeissner,31,1
MilesMcBain,Miles McBain,30,1
sharlagelfand,Sharla Gelfand,30,1
nuest,nuest,27,1
mbjoseph,Max Joseph,26,1
MarkEdmondson1234,Mark Edmondson,24,1
jmtaylor-fhcrc,Jason Taylor,23,1
goodmansasha,Sasha Goodman,21,1
JonasGeschke,JonasGeschke,21,1
florisvdh,florisvdh,20,1
willpearse,Will Pearse,18,1
blasee,blasee,16,1
bocinsky,Bocinsky,16,1
jhpoelen,Jorrit Poelen,15,1
jonocarroll,Jonathan Carroll,15,1
ottlngr,Philipp Ottolinger,15,1
tjmahr,TJ Mahr,15,1
hsonne,Hauke Sonnenberg,14,1
levisc8,levisc8,14,1
agricolamz,agricolamz,11,1
briatte,François Briatte,10,1
FranzKrah,FranzKrah,10,1
Aariq,Aariq,9,1
AndySouth,AndySouth,9,1
ChrisMuir,ChrisMuir,9,1
gabrielbouleau,Gabriel Bergerongit config --global user.email gabriel.bergeron3@usherbrooke.ca,9,1
tonyfischetti,Tony Fischetti,9,1
=,=,8,1
dwinter,David Winter,8,1
gpli,Gaopeng Li,8,1
MartinMSPedersen,Martin M. S. Pedersen,8,1
orchid00,Paula Andrea Martinez,8,1
rmendels,Roy Mendelssohn,8,1
nealrichardson,Neal Richardson,7,1
Nowosad,jn,7,1
schloerke,Barret Schloerke,7,1
clementviolet,Clément VIOLET,6,1
haozhu233,Hao Zhu,6,1
knh11545,Helge Knüttel,6,1
michaelquinn32,Michael Quinn,6,1
rabutler,Alan Butler,6,1
rtaph,Rafael Pilliard Hellwig,6,1
stitam,stitam,6,1
ubuntu,Ubuntu,6,1
andschar,andreas,5,1
dpmccabe,Devin McCabe,5,1
EDiLD,edisz,5,1
gbabineau,gbabineau,5,1
hansvancalster,Hans Van Calster,5,1
jeanetteclark,Jeanette Clark,5,1
jlopezper,jlopezper,5,1
nbenn,Nicolas Bennett,5,1
thisisnic,Nic,5,1
barryrowlingson,Barry Rowlingson,4,1
dantonnoriega,Danton Noriega,4,1
dlebauer,David LeBauer,4,1
kritikg,KritikG,4,1
sebsfox,sebsfox,4,1
Alanocallaghan,Alan O'Callaghan,3,1
alyst,Alexey Stukalov,3,1
bibsian,bibsian,3,1
brendanf,brendanf,3,1
daudi,David Whiting,3,1
ElsLommelen,ElsLommelen,3,1
florianm,florianm,3,1
harshitbansal05,Harshit Bansal,3,1
ijlyttle,Ian Lyttle,3,1
javigzz,Javier Gonz�lez,3,1
jeffreyhanson,jeffreyhanson,3,1
kangel,kangel,3,1
kbenoit,kbenoit,3,1
Martin-Jung,Martin-Jung,3,1
mps9506,mps9506,3,1
mschubert,mschubert,3,1
r-ash,Rob,3,1
angela-li,Angela Li,2,1
aoles,Andrzej K. Oleś,2,1
AugustT,Dr Tom August,2,1
bambooforest,bambooforest@gmail.com,2,1
dgrtwo,Dave Robinson,2,1
etiennebr,Etienne B. Racine,2,1
fboehm,Frederick Boehm,2,1
gadenbuie,Garrick Aden-Buie,2,1
grabear,Rob Gilmore,2,1
ibartomeus,Nacho,2,1
JasperHG90,Jasper Ginn,2,1
jooolia,Julia Gustavsen,2,1
kaneplusplus,Michael Kane,2,1
kevinykuo,Kevin Kuo,2,1
lionel-,Lionel Henry,2,1
LucyMcGowan,Lucy McGowan,2,1
MusTheDataGuy,MusTheDataGuy,2,1
pat-s,Patrick Schratz,2,1
rensa,James Goldie,2,1
thebioengineer,Ellis Hughes,2,1
tmastny,Timothy Mastny,2,1
yomoseco,Marco,2,1
zappingseb,Sebastian Wolf,2,1
aaronwolen,Aaron Wolen,1,1
AldoCompagnoni,AldoCompagnoni,1,1
anniew,Annie Wang,1,1
arnima-github,Arni Magnusson,1,1
atn38,An T. Nguyen,1,1
bastistician,Sebastian Meyer,1,1
